variation	pass_rate	cost	format_ok	files_created	notes	timestamp
V1	0%	.006231	0/3	3		2026-03-24T21:09:52Z
V2	0%	.005793	1/3	2		2026-03-24T21:10:07Z
V3	0%	.007680	0/3	2		2026-03-24T21:10:55Z
V4	100%	.0058020000000000001	3/3	3		2026-03-24T21:11:14Z
V5	0%	.002925	0/3	3		2026-03-24T21:11:34Z
V6	0%	.006069	3/3	0		2026-03-24T21:12:08Z
V7	0%	.0057180000000000002	1/3	3		2026-03-24T21:12:37Z
V8	66%	.0075330000000000002	3/3	2		2026-03-24T21:13:02Z
